Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
3,0,15,3,12,26.48945217591383,66.75341948330285,49.94869838651916,0.7482567750557395,27.031348552495984,19.871402129017838,20.034547705872516,False,113.699848,6,400,2610
4,0,21,3,18,26.604666137725058,67.04375866706715,49.948698386519226,0.7450163800415733,26.79972618962961,20.004719069024823,19.901230765865478,False,103.431587,6,400,2610
5,0,28,5,24,26.09068676342841,65.74853064383959,49.94869838651911,0.7596929984198686,26.445217029392403,20.05109604517527,19.85485378971502,False,113.234348,6,400,2610
6,0,23,3,20,27.13531994363498,68.38100625796015,49.94869838651917,0.7304469635631415,27.11832579617476,20.12066080254262,19.785289032347688,False,54.491669,4,300,2610
7,0,14,3,11,27.07299390506876,68.22394464077327,49.948698386519155,0.732128560573847,26.9085049077626,20.093707508371118,19.81224232651917,False,133.560601,7,450,2610
8,0,24,3,21,26.758364225409714,67.43107784803249,49.94869838651918,0.7407370604261606,26.666253179311727,20.18199568671498,19.723954148175316,False,78.558791,5,350,2610
9,0,21,3,19,27.167181849726845,68.46129826131165,49.9486983865192,0.7295902890399296,26.672730739288085,20.1836968591369,19.72225297575344,False,78.460365,5,350,2610
10,0,9,4,5,26.623437901754517,67.09106351242139,49.948698386519176,0.7444910808020142,26.941659743417947,19.884731121248848,20.02121871364148,False,105.849315,6,400,2610
11,0,21,3,18,26.66363160004594,67.19235163211576,49.94869838651912,0.7433688087000258,27.435198263023562,19.729320773825837,20.176629061064496,False,102.607206,6,400,2610
12,0,24,3,21,26.723141606841345,67.34231684924019,49.948698386519155,0.7417133939472222,26.880483691661702,19.885169373424016,20.02078046146631,False,82.617904,5,350,2610
13,0,17,4,13,26.279393158333303,66.22407075899993,49.94869838651917,0.7542378143483589,26.550842073072847,20.109471549067962,19.796478285822374,False,109.549649,6,400,2610
14,0,16,3,13,26.480689686879565,66.7313380109365,49.94869838651912,0.7485043740368746,26.491269628342728,20.004535757093475,19.90141407779686,False,109.556272,6,400,2610
15,0,28,3,26,26.875711191026433,67.72679220138662,49.94869838651918,0.7375027926613739,26.813619256617965,20.129430558435104,19.77651927645521,False,83.741931,5,350,2610
16,0,21,3,18,26.595025633749138,67.01946459704783,49.94869838651919,0.7452864430779025,26.550683714861417,19.87404295180244,20.031906883087885,False,154.493114,7,450,2610
17,0,21,4,18,26.91861419230537,67.83490776460953,49.948698386519155,0.7363273575876833,26.957648337259474,20.195453798404078,19.71049603648626,False,85.639694,5,350,2610
18,0,23,3,20,26.807791587064624,67.55563479940285,49.948698386519126,0.7393713127681341,26.97558524169632,19.859681632225435,20.046268202664912,False,115.44842,6,400,2610
19,0,17,3,14,26.45833258302398,66.67499810922044,49.94869838651917,0.7491368549377101,26.377623841292113,20.06811609461497,19.837833740275315,False,111.919923,6,400,2610
20,0,25,3,22,26.390681569297875,66.50451755463065,49.94869838651914,0.7510572247289576,27.04004970430988,19.8558418206046,20.050108014285712,False,111.139545,6,400,2610
1,0,15,3,12,26.66687737639669,67.20053098851966,49.94869838651917,0.7432783290812428,25.970533837813,20.411966552143067,19.49398328274726,False,412.268128,5,1010,2611
2,0,21,3,18,26.42378906232732,66.58794843706485,49.948698386519176,0.7501161930785095,26.778633536581893,19.73067008787056,20.175279747019765,False,313.116324,4,960,2611
3,0,16,3,14,26.035913739317937,65.6105026230812,49.94869838651914,0.761291201706899,26.56750165062588,19.7707772304826,20.13517260440772,False,272.821552,3,910,2611
4,0,18,3,15,26.554357752753525,66.91698153693888,49.948698386519176,0.7464278459563657,26.584088652184587,19.917142147257774,19.98880768763255,False,333.690797,5,1010,2611
5,0,22,4,18,26.465716014864554,66.69360435745868,49.94869838651917,0.7489278599910181,26.049407952733326,20.21161383685487,19.69433599803547,False,341.35531,5,1010,2611
6,0,26,3,23,26.127740487624354,65.84190602881337,49.948698386519155,0.758615620341563,25.868167820492634,20.09895946588979,19.80699036900053,False,483.411196,9,1210,2611
7,0,22,3,19,26.0604673268387,65.67237766363353,49.94869838651917,0.7605739302199586,26.656794658136484,19.752358543993516,20.153591290896813,False,297.424691,4,960,2611
8,0,14,3,11,26.243379504743828,66.13331635195445,49.94869838651919,0.7552728509893191,26.319384978604713,19.70377412776501,20.20217570712532,False,330.640465,5,1010,2611
9,0,25,4,23,26.725278183189634,67.34770102163787,49.948698386519155,0.7416540970043111,26.29467969314795,20.16453738510008,19.74141244979025,False,505.910767,11,1310,2611
10,0,14,3,11,26.143487092514007,65.8815874731353,49.9486983865192,0.7581586950509792,26.594461722697435,19.86036885561841,20.045580979271914,False,278.198215,3,910,2611
11,0,17,3,15,26.491454144463496,66.75846444404802,49.94869838651914,0.7482002290268739,25.941151203297828,20.1488152846652,19.75713455022513,False,386.307172,7,1110,2611
12,0,27,3,24,26.128722725593477,65.84438126849557,49.948698386519204,0.7585871022592183,26.343492731172613,19.74914108187735,20.15680875301297,False,334.027259,5,1010,2611
13,0,17,3,14,26.150577752984052,65.89945593751982,49.94869838651921,0.7579531223122125,26.570272755897545,19.80703403713842,20.098915797751896,False,421.424425,7,1110,2611
14,0,16,3,13,26.522806045719328,66.8374712352127,49.94869838651918,0.7473158015021396,26.205041187417137,20.025168481005185,19.880781353885123,False,336.836959,5,1010,2611
15,0,13,3,10,26.372826589404372,66.45952300529902,49.94869838651914,0.7515657068820157,26.87536416151763,19.707985118557847,20.19796471633247,False,319.175606,5,1010,2611
16,0,19,3,16,26.171736019559148,65.95277476928905,49.948698386519176,0.7573403630286352,26.234545046737665,19.991667793584384,19.914282041305942,False,297.648053,4,960,2611
17,0,27,3,24,26.302193165421677,66.28152677686262,49.94869838651919,0.7535840047057448,26.422481961816914,19.883715601423557,20.022234233466772,False,297.821011,5,1010,2611
18,0,22,3,19,26.239999382507293,66.12479844391838,49.94869838651917,0.7553701419427622,26.46338952419893,19.743358980598394,20.16259085429192,False,286.560996,5,1010,2611
19,0,22,3,20,26.364534310758753,66.43862646311206,49.94869838651916,0.7518020923303042,26.447481091552383,19.81758743226001,20.088362402630313,False,243.05947,3,910,2611
20,0,19,3,16,26.210447126887324,66.05032675975606,49.94869838651913,0.7562218211000961,26.258944242343077,19.90492920581694,20.00102062907337,False,276.09065,4,960,2611
1,0,28,4,24,30.386599743026647,76.57423135242715,49.94869838651917,0.6522912147382066,30.250465340461137,20.051646295128585,19.854303539761755,False,148.246042,6,2500,2612
2,0,22,3,19,29.656415384740384,74.73416676954577,49.94869838651915,0.6683515792789073,29.359646897204353,19.87052908041938,20.035420754470934,False,132.231372,3,2350,2612
3,0,52,9,47,33.48999190471297,84.3947795998767,49.94869838651921,0.5918458300777669,33.52010720540153,20.073242388427488,19.832707446462802,False,113.725204,5,2450,2612
4,0,32,5,27,30.73678925932221,77.45670893349197,49.948698386519155,0.644859548956663,31.093504695607294,19.916696826499106,19.989253008391227,False,125.579663,6,2500,2612
5,0,28,5,25,29.432563238693895,74.17005936150862,49.948698386519155,0.6734347904869089,29.85368496169925,19.794774757205968,20.11117507768438,False,139.454072,6,2500,2612
6,0,37,8,32,33.24839229465312,83.78594858252588,49.948698386519126,0.5961464807827725,31.96058556215119,19.800722577497343,20.105227257392972,False,118.188296,5,2450,2612
7,1,93,18,86,37.08460933909206,93.453215534512,49.7784441648267,0.5326563016597718,34.87566129977972,19.957943110607378,19.812919025576765,False,135.617717,8,2600,2612
8,0,31,5,28,32.68877983107405,82.37572517430661,49.94869838651916,0.6063521538757684,31.675540330795542,20.325534269659318,19.580415565230982,False,96.678764,4,2400,2612
9,0,28,4,25,29.443013959052923,74.19639517681337,49.948698386519226,0.6731957565794028,29.102152542770725,20.085930809916455,19.820019024973874,False,91.117722,4,2400,2612
10,0,30,9,26,31.301064349389115,78.87868216046057,49.948698386519176,0.6332344433051,31.178244086575233,20.2852378460899,19.620711988800423,False,91.153662,6,2500,2612
11,0,45,8,40,31.418838959256703,79.17547417732689,49.94869838651917,0.630860741984956,30.712352873990582,19.7282636278979,20.177686206992423,False,80.664101,5,2450,2612
12,0,17,3,14,28.923000295148846,72.88596074377509,49.94869838651915,0.6852993069832736,29.038822304867264,19.979779535744303,19.926170299145994,False,107.27572,11,2750,2612
13,1,56,16,49,34.26973172168949,86.35972393865751,49.88614199952285,0.5776551814241284,31.705217825956083,20.05354256045426,19.803105475525093,False,103.705627,13,2850,2612
14,0,35,3,32,31.13505663149373,78.46034271136419,49.948698386519176,0.636610759785588,30.6407346197114,20.119494800429248,19.78645503446109,False,99.241817,8,2600,2612
15,0,28,5,24,30.073362238899467,75.78487284202666,49.948698386519126,0.659085336075407,29.913607255984395,19.940975839924228,19.964973994966094,False,90.226561,3,2350,2612
16,0,42,5,38,30.920981813504504,77.92087417003135,49.94869838651916,0.6410181985064229,30.406198583911117,20.14738507460965,19.75856476028069,False,75.012427,3,2350,2612
17,1,59,18,54,34.88626343558512,87.9133838576745,49.83036920701151,0.5668120941366939,34.778072323520725,19.811441691631387,20.00288752050777,False,88.029903,6,2500,2612
18,0,32,4,29,30.325113190113047,76.41928523908489,49.94869838651914,0.6536137864970859,30.174461253146553,19.994786923850505,19.9111629110398,False,76.357912,4,2400,2612
19,0,25,4,22,30.44217340874856,76.71427699004637,49.948698386519126,0.6511004254527477,30.323671857739747,20.074212669318563,19.831737165571763,False,73.601776,4,2400,2612
20,0,37,6,32,30.92654243362466,77.93488693273414,49.94869838651914,0.6409029428583123,30.910698029366273,19.75476139113459,20.151188443755704,False,113.892523,5,2450,2612
1,0,19,5,14,26.239008793312045,66.12230215914636,49.94869838651917,0.7553986590832882,26.343099200019893,19.917637262259984,19.988312572630356,False,555.231286,11,1230,2613
2,0,23,3,20,26.659235922817665,67.18127452550051,49.94869838651913,0.743491378204796,26.145649176666538,20.20142565187927,19.704524183011095,False,404.399053,8,1080,2613
3,0,16,3,14,26.611339354601153,67.06057517359491,49.94869838651918,0.7448295553269646,26.487478609379718,20.057636526920778,19.84831330796953,False,566.401148,14,1380,2613
4,0,26,3,23,26.9743033325526,67.97524439803256,49.948698386519105,0.7348071908949958,26.576641438138576,20.097288138598074,19.808661696292248,False,268.396101,4,880,2613
5,0,14,3,11,26.19816361473554,66.01937230913356,49.948698386519176,0.7565763902243121,26.191679750253574,20.05307289235255,19.85287694253775,False,344.511798,6,980,2613
6,0,18,3,16,26.607665561078985,67.05131721391905,49.94869838651917,0.7449323959910279,26.0641202456029,20.26720777461205,19.638742060278258,False,493.656345,12,1280,2613
7,0,31,3,29,26.919425719989963,67.83695281437471,49.94869838651914,0.7363051598617054,26.249015290166735,20.146956718451325,19.758993116438997,False,412.734329,9,1130,2613
8,0,19,3,16,26.41515160688575,66.5661820493521,49.94869838651914,0.7503614725790827,25.926223657799753,20.20955876402052,19.696391070869783,False,274.178192,5,930,2613
9,0,28,3,25,26.104444257995652,65.78319953014905,49.94869838651919,0.7592926270426729,25.73269093773542,19.98954093535792,19.91640889953242,False,464.978936,12,1280,2613
