"settings_id","stem_file","iterations_number","pile_width","pile_height","pile_depth","n_sides","n_meshes","lateral_friction","spinning_friction","rolling_friction","restitution","bend_function","random_turn","drop_algorithm","intended.con"
2519,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2501
2520,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"grid",2502
2521,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise",2503
2522,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2504
2523,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"trapezoid",2505
2524,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",2506
2525,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"grid",2507
2526,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise",2508
2527,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2509
2528,"My200-4-2-0.csv",20,12,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid",2510
2529,"My200-4-2-0.csv",20,12,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2511
2530,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"grid",2512
2531,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise",2513
2532,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2514
2695,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"grid",2677
2696,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise",2678
2697,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2679
2698,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid",2680
2699,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2681
2700,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"grid",2682
2701,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise",2683
2702,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2684
2703,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"trapezoid",2685
2704,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",2686
2705,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"grid",2687
2706,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise",2688
2707,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2689
2708,"My200-4-2-0.csv",20,12,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid",2690
2709,"My200-4-2-0.csv",20,12,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2691
2710,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"grid",2692
2711,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise",2693
2712,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2694
2875,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"grid",2857
2876,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise",2858
2877,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2859
2878,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid",2860
2879,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2861
2880,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"grid",2862
2881,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise",2863
2882,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2864
2883,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"trapezoid",2865
2884,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",2866
2885,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"grid",2867
2886,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise",2868
2887,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2869
2888,"My200-4-2-0.csv",20,12,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid",2870
2889,"My200-4-2-0.csv",20,12,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2871
2890,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"grid",2872
2891,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise",2873
2892,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2874
3055,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"grid",3037
3056,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise",3038
3057,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",3039
3058,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid",3040
3059,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",3041
3060,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"grid",3042
3061,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise",3043
3062,"My200-4-2-0.csv",20,4,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",3044
3063,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"trapezoid",3045
3064,"My200-4-2-0.csv",20,12,2,3,10,8,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",3046
3065,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"grid",3047
3066,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise",3048
3067,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",3049
3068,"My200-4-2-0.csv",20,12,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid",3050
3069,"My200-4-2-0.csv",20,12,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",3051
3070,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"grid",3052
3071,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise",3053
3072,"My200-4-2-0.csv",20,4,2,3,10,15,0.85,0.65,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",3054
