Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor
47,0,3.66083406338045,8.985301238950461,10.98250219014135,0.8181470017840092
48,1,3.6968243626462876,8.936637858311169,11.090473087938863,0.8057941070187495
49,0,3.697908655727642,8.985301238950463,11.093725967182927,0.8099444015050009
50,0,3.7319936549198807,8.985301238950461,11.195980964759642,0.8025470271191516
51,0,3.711760167981658,8.985301238950463,11.135280503944973,0.8069218584809945
52,0,3.652837553615091,8.98530123895046,10.958512660845273,0.8199380259927891
53,0,3.693228224440735,8.985301238950461,11.079684673322205,0.8109708447376102
54,0,3.7015283487447377,8.985301238950461,11.104585046234213,0.8091523637794603
55,0,3.641520670525245,8.985301238950461,10.924562011575734,0.8224861765102875
56,0,3.700317536890666,8.985301238950466,11.100952610671998,0.8094171332929003
57,0,3.6663728219270957,8.985301238950463,10.999118465781287,0.8169110339982343
58,0,3.664340528208749,8.985301238950461,10.993021584626247,0.8173641041073197
59,0,3.738361428886468,8.985301238950461,11.215084286659405,0.80118000090634
60,1,3.692649911184235,8.90989326003311,11.077949733552705,0.8042908186383061
61,0,3.672274004840062,8.98530123895046,11.016822014520185,0.8155982938734802
62,0,3.692951347911956,8.985301238950463,11.078854043735868,0.8110316467280181
63,0,3.6722744400983167,8.985301238950461,11.01682332029495,0.8155981972042645
64,0,3.706811335933093,8.985301238950463,11.120434007799279,0.8079991511705975
65,0,3.6819720018318804,8.985301238950461,11.045916005495641,0.8134500782443059
66,0,3.6816229238786615,8.985301238950461,11.044868771635985,0.8135272065907527
67,0,3.7050969872083064,8.985301238950461,11.115290961624918,0.8083730124539107
68,0,3.6138015429606196,8.985301238950461,10.84140462888186,0.8287949344694066
69,0,3.7046233316244166,8.985301238950463,11.11386999487325,0.8084763671966038
70,0,3.6768493612639075,8.985301238950465,11.030548083791722,0.8145833888484162
71,0,3.685243917470311,8.985301238950463,11.055731752410933,0.812727862811164
72,0,3.6533847049610904,8.985301238950461,10.96015411488327,0.8198152274837933
73,0,3.704234727370544,8.985301238950463,11.112704182111631,0.8085611829220023
74,0,3.7104362942769757,8.98530123895046,11.131308882830927,0.8072097660329508
75,0,3.7448170562597998,8.985301238950463,11.2344511687794,0.7997988601277349
76,0,3.6731062290518555,8.985301238950461,11.019318687155566,0.8154135018732134
77,0,3.7449396180754144,8.985301238950463,11.234818854226244,0.7997726848591269
78,0,3.6822510192020066,8.985301238950463,11.04675305760602,0.8133884402135534
79,0,3.7004195725173545,8.985301238950461,11.101258717552064,0.8093948143685645
80,0,3.816836278702434,8.98530123895046,11.450508836107302,0.7847075940081183
81,0,3.675616324434989,8.985301238950461,11.026848973304967,0.8148566522225058
82,0,3.68928710124211,8.985301238950465,11.06786130372633,0.8118371736304006
83,0,3.7510304591404973,8.985301238950461,11.253091377421491,0.7984740314984746
84,0,3.73491614490465,8.985301238950461,11.20474843471395,0.8019190516685482
